"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FXRateToBase","AssetClass","SubCategory","Symbol","Description","Conid","SecurityID","SecurityIDType","CUSIP","ISIN","FIGI","ListingExchange","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","Multiplier","Strike","Expiry","Put/Call","PrincipalAdjustFactor","ReportDate","Quantity","MarkPrice","PositionValue","OpenPrice","CostBasisPrice","CostBasisMoney","PercentOfNAV","FifoPnlUnrealized","Side","LevelOfDetail","OpenDateTime","HoldingPeriodDateTime","VestingDate","Code","OriginatingOrderID","OriginatingTransactionID","AccruedInterest","SerialNumber","DeliveryType","CommodityType","Fineness","Weight"
"U13323974","","","USD","1","STK","COMMON","BBWI","BATH & BODY WORKS INC","502252263","US0708301041","ISIN","070830104","US0708301041","BBG000BNGTQ7","NYSE","","BBWI","","","","US","1","","","","","2025-11-07","100","22.91","2291","28.5030344","28.5030344","2850.30344","2.20","-559.30344","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","DIS","WALT DISNEY CO/THE","6459","US2546871060","ISIN","254687106","US2546871060","BBG000BH4R78","NYSE","","DIS","","","","US","1","","","","","2025-11-07","6","110.74","664.44","176.666666667","176.666666667","1060","0.64","-395.56","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","F","FORD MOTOR CO","9599491","US3453708600","ISIN","345370860","US3453708600","BBG000BQPC32","NYSE","","F","","","","US","1","","","","","2025-11-07","100","13.21","1321","10.69056282","10.69056282","1069.056282","1.27","251.943718","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","HAL","HALLIBURTON CO","7890","US4062161017","ISIN","406216101","US4062161017","BBG000BKTFN2","NYSE","","HAL","","","","US","1","","","","","2025-11-07","100","27.57","2757","31.07065873","31.07065873","3107.065873","2.65","-350.065873","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","HUT","HUT 8 CORP","669228291","US44812J1043","ISIN","44812J104","US44812J1043","BBG00K8H39V2","NASDAQ","","HUT","","","","US","1","","","","","2025-11-07","100","44.59","4459","18.76048735","18.76048735","1876.048735","4.29","2582.951265","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","KSS","KOHLS CORP","8942","US5002551043","ISIN","500255104","US5002551043","BBG000CS7CT9","NYSE","","KSS","","","","US","1","","","","","2025-11-07","100","17.01","1701","18.75056463","18.75056463","1875.056463","1.64","-174.056463","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","PLTR","PALANTIR TECHNOLOGIES INC-A","444857009","US69608A1088","ISIN","69608A108","US69608A1088","BBG000N7QR55","NASDAQ","","PLTR","","","","US","1","","","","","2025-11-07","300","177.93","53379","18.303636363","18.303636363","5491.090909","51.34","47887.909091","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","PYPL","PAYPAL HOLDINGS INC","199169591","US70450Y1038","ISIN","70450Y103","US70450Y1038","BBG0077VNXV6","NASDAQ","","PYPL","","","","US","1","","","","","2025-11-07","5","66.22","331.1","233.4","233.4","1167","0.32","-835.9","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","RIVN","RIVIAN AUTOMOTIVE INC-A","525768800","US76954A1034","ISIN","76954A103","US76954A1034","BBG00741Y1N2","NASDAQ","","RIVN","","","","US","1","","","","","2025-11-07","400","15.23","6092","25.3663003","25.3663003","10146.52012","5.86","-4054.52012","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","STK","COMMON","RKLB","ROCKET LAB CORP","787273575","US7731211089","ISIN","773121108","US7731211089","BBG01V7JN3F3","NASDAQ","","RKLB","","","","US","1","","","","","2025-11-07","600","51.64","30984","9.333333333","9.333333333","5600","29.80","25384","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","B     251121P00026000","B 21NOV25 26 P","815268522","","","","","BBG01XC62GH3","CBOE","780709675","B","CA06849F1080","NYSE","","","100","26","2025-11-21","P","","2025-11-07","1","0.055","5.5","0.290484","0.290484","29.0484","1.04","-23.5484","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","BBWI  251121P00022500","BBWI 21NOV25 22.5 P","769847734","","","","","BBG01SY01MR0","CBOE","502252263","BBWI","US0708301041","NYSE","","","100","22.5","2025-11-21","P","","2025-11-07","1","1.1572","115.72","0.550459","0.550459","55.0459","21.98","60.6741","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ETHA  251114P00020000","ETHA 14NOV25 20 P","819914195","","","","","BBG01XQKZWZ6","CBOE","717828992","ETHA","US46438R1059","NASDAQ","","","100","20","2025-11-14","P","","2025-11-07","1","0.0808","8.08","0.357659","0.357659","35.7659","1.53","-27.6859","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ETHA  251121P00021000","ETHA 21NOV25 21 P","799857294","","","","","BBG01W4WJ191","CBOE","717828992","ETHA","US46438R1059","NASDAQ","","","100","21","2025-11-21","P","","2025-11-07","1","0.24","24","0.306959","0.306959","30.6959","4.56","-6.6959","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","ETHA  251128P00020000","ETHA 28NOV25 20 P","821978717","","","","","BBG01XVGVJ82","CBOE","717828992","ETHA","US46438R1059","NASDAQ","","","100","20","2025-11-28","P","","2025-11-07","1","0.3","30","0.437659","0.437659","43.7659","5.70","-13.7659","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","HAL   251128P00021000","HAL 28NOV25 21 P","821344851","","","","","BBG01XTD1S85","CBOE","7890","HAL","US4062161017","NYSE","","","100","21","2025-11-28","P","","2025-11-07","1","0.0463","4.63","0.227959","0.227959","22.7959","0.88","-18.1659","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","HAL   251219P00020000","HAL 19DEC25 20 P","635336600","","","","","BBG01GXPHN48","CBOE","7890","HAL","US4062161017","NYSE","","","100","20","2025-12-19","P","","2025-11-07","1","0.1185","11.85","0.260459","0.260459","26.0459","2.25","-14.1959","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","HUT   251114P00035000","HUT 14NOV25 35 P","819590028","","","","","BBG01XPGC5R9","CBOE","669228291","HUT","US44812J1043","NASDAQ","","","100","35","2025-11-14","P","","2025-11-07","1","0.3136","31.36","0.457959","0.457959","45.7959","5.96","-14.4359","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","IBIT  251114P00050000","IBIT 14NOV25 50 P","819932358","","","","","BBG01XQLH7W2","CBOE","677037673","IBIT","US46438F1012","NASDAQ","","","100","50","2025-11-14","P","","2025-11-07","1","0.0752","7.52","0.360459","0.360459","36.0459","1.43","-28.5259","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U13323974","","","USD","1","OPT","P","IBIT  251121P00050000","IBIT 21NOV25 50 P","770034908","","","","","BBG01SYM1Y69","CBOE","677037673","IBIT","US46438F1012","NASDAQ","","","100","50","2025-11-21","P","","2025-11-07","1","0.2079","20.79","0.350459","0.350459","35.0459","3.95","-14.2559","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
